Nama_Gunung,Lat_Gunung,Lng_Gunung,Waktu_VA,Data_Koordinat_VA,Waktu_6H,Data_Prediksi_6H,Waktu_12H,Data_Prediksi_12H,Waktu_18H,Data_Prediksi_18H,Kode_Warna
Semeru - Jawa Timur,"-8,110811","112,9225016","Minggu, 13 September 2026 pukul 07.20.",S0810 E11257 - S0808 E11250 - S0735 E11251 - S0730 E11305 - S0738 E11318,"Minggu, 13 September 2026 pukul 13.20",S0810 E11256 - S0808 E11250 - S0732 E11302 - S0733 E11322 - S0749 E11323,"Minggu, 13 September 2026 pukul 19.20",S0807 E11249 - S0744 E11300 - S0745 E11321 - S0801 E11320 - S0813 E11255,"Senin, 14 September 2026 pukul 01.20",S0811 E11254 - S0759 E11248 - S0747 E11316 - S0757 E11328 - S0809 E11322,Orange
Anak Krakatau,"-6,102871","105,422294","Sabtu, 12 September 2026 pukul 04.40.",,"Sabtu, 12 September 2026 pukul 10.40",,"Sabtu, 12 September 2026 pukul 16.40",,"Sabtu, 12 September 2026 pukul 22.40",,Orange
Anak Krakatau,"-6,102871","105,422294","Senin, 07 September 2026 pukul 11.10.",,"Senin, 07 September 2026 pukul 17.10",,"Senin, 07 September 2026 pukul 23.10",,"Selasa, 08 September 2026 pukul 05.10",,Orange
Awu - Sulawesi Utara,,,"Jumat, 10 Juli 2026 pukul 17.50.",,"Jumat, 10 Juli 2026 pukul 23.50",,"Sabtu, 11 Juli 2026 pukul 05.50",,"Sabtu, 11 Juli 2026 pukul 11.50",,Orange
Lewotobi Laki-laki,"-8,537438","122,7674317","Kamis, 27 Agustus 2026 pukul 03.20.",,"Kamis, 27 Agustus 2026 pukul 09.20",,"Kamis, 27 Agustus 2026 pukul 15.20",,"Kamis, 27 Agustus 2026 pukul 21.20",,Orange
Lewotobi Perempuan,,,"Minggu, 12 Juli 2026 pukul 17.50.",,"Minggu, 12 Juli 2026 pukul 23.50",,"Senin, 13 Juli 2026 pukul 05.50",,"Senin, 13 Juli 2026 pukul 11.50",,
Merapi Tawa Tengah,"-7,541484","110,445439","Senin, 13 Juli 2026 pukul 17.50.",,"Senin, 13 Juli 2026 pukul 23.50",,"Selasa, 14 Juli 2026 pukul 05.50",,"Selasa, 14 Juli 2026 pukul 11.50",,
Dempo - Sumatera Selatan,,,"Selasa, 14 Juli 2026 pukul 17.50.",,"Selasa, 14 Juli 2026 pukul 23.50",,"Rabu, 15 Juli 2026 pukul 05.50",,"Rabu, 15 Juli 2026 pukul 11.50",,
Dukono - Maluku Utara,"1,6997133","127,8785419","Minggu, 13 September 2026 pukul 10.10.",N0138 E12751 - N0145 E12748 - N0221 E12808 - N0219 E12833 - N0204 E12850 - N0149 E12825,"Minggu, 13 September 2026 pukul 16.10",N0136 E12753 - N0142 E12747 - N0227 E12839 - N0216 E12908 - N0152 E12903,"Minggu, 13 September 2026 pukul 22.10",N0136 E12753 - N0142 E12747 - N0232 E12827 - N0227 E12852 - N0214 E12906 - N0152 E12907,"Senin, 14 September 2026 pukul 04.10",N0136 E12754 - N0141 E12748 - N0237 E12832 - N0213 E12901,Kuning
Ili Lewotolok - Nusa Tenggara Timur,"-8,273319","123,506713","Minggu, 13 September 2026 pukul 06.00.",S0816 E12334 - S0820 E12331 - S0752 E12228 - S0730 E12229 - S0728 E12257,"Minggu, 13 September 2026 pukul 12.00",S0816 E12334 - S0820 E12332 - S0756 E12214 - S0731 E12216 - S0728 E12244,"Minggu, 13 September 2026 pukul 18.00",S0815 E12334 - S0821 E12331 - S0802 E12212 - S0745 E12211 - S0735 E12231,"Senin, 14 September 2026 pukul 00.00",S0813 E12334 - S0820 E12334 - S0831 E12216 - S0813 E12204 - S0756 E12223,Orange
