latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,waktu_tarik_wib,kategori_tingkat
-10.06468,120.18934,367,0.48,0.48,2026-09-22,608,N,VIIRS,h,2.0NRT,307.49,19.18,D,2026-09-22 23:57:11,Tinggi
-8.45089,124.14579,367,0.47,0.64,2026-09-22,608,N,VIIRS,h,2.0NRT,296.39,9.49,D,2026-09-22 23:57:11,Tinggi
-8.41287,123.51714,367,0.43,0.62,2026-09-22,608,N,VIIRS,h,2.0NRT,297.19,14.21,D,2026-09-22 23:57:11,Tinggi
-8.27104,123.51379,367,0.43,0.62,2026-09-22,608,N,VIIRS,h,2.0NRT,298.14,10.5,D,2026-09-22 23:57:11,Tinggi
-4.79599,121.74757,367,0.37,0.58,2026-09-22,610,N,VIIRS,h,2.0NRT,309.35,103.21,D,2026-09-22 23:57:11,Tinggi
-4.79414,121.74885,367,0.38,0.58,2026-09-22,610,N,VIIRS,h,2.0NRT,299.41,58.21,D,2026-09-22 23:57:11,Tinggi
-4.74939,122.49692,367,0.42,0.61,2026-09-22,610,N,VIIRS,h,2.0NRT,298.27,17.5,D,2026-09-22 23:57:11,Tinggi
-4.72268,122.68125,367,0.43,0.62,2026-09-22,610,N,VIIRS,h,2.0NRT,295.69,9.14,D,2026-09-22 23:57:11,Tinggi
-4.65214,122.98589,367,0.46,0.63,2026-09-22,610,N,VIIRS,h,2.0NRT,296.7,20.47,D,2026-09-22 23:57:11,Tinggi
-4.48878,121.66203,367,0.37,0.58,2026-09-22,610,N,VIIRS,h,2.0NRT,302.01,15.54,D,2026-09-22 23:57:11,Tinggi
-4.48823,121.66523,367,0.37,0.58,2026-09-22,610,N,VIIRS,h,2.0NRT,301.09,15.54,D,2026-09-22 23:57:11,Tinggi
-4.48695,121.66048,367,0.37,0.58,2026-09-22,610,N,VIIRS,h,2.0NRT,300.35,14.09,D,2026-09-22 23:57:11,Tinggi
-4.48641,121.66371,367,0.38,0.58,2026-09-22,610,N,VIIRS,h,2.0NRT,301.79,14.09,D,2026-09-22 23:57:11,Tinggi
