NamaPos,Lat,Lng,Deskripsi,NoTelp
BPBD Buru Selatan ,"-3,845029","126,723569","<iframe src=""https://www.google.com/maps/embed?pb=!1m16!1m12!1m3!1d445.0551145069958!2d126.7235897278032!3d-3.8449656401127323!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!2m1!1sBPbd%20Buru%20selatan!5e1!3m2!1sid!2sid!4v1782063825301!5m2!1sid!2sid"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",-
Damkar,"-3,837241","126,733225","<iframe src=""https://www.google.com/maps/embed?pb=!1m16!1m12!1m3!1d447.588077803202!2d126.73309512129154!3d-3.8367692463856335!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!2m1!1sBPbd%20Buru%20selatan!5e1!3m2!1sid!2sid!4v1782064001847!5m2!1sid!2sid"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",-
RSUD Namrole,"-3,83738","126,73683","5P7P+3R3, Labuang, Kec. Namrole, Kabupaten Buru Selatan, Maluku
<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2622.875346253451!2d126.73460616576202!3d-3.837407146572433!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2d72dd586f10f5fb%3A0x534a32c3254558c5!2sRSUD%20Namrole!5e1!3m2!1sid!2sid!4v1782064132951!5m2!1sid!2sid"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",-
POLRES BURU SELATAN,"-3,845103","126,721697","5P3C+XMQ, Jl. Kabupaten, Elfule, Kec. Namrole, Kabupaten Buru Selatan, Maluku
<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d463.0992825311018!2d126.72131333152228!3d-3.845127460154314!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2d72dd5bebecfe1b%3A0xe11fa56bd1f2fb59!2sPOLRES%20BURU%20SELATAN!5e1!3m2!1sid!2sid!4v1782064269841!5m2!1sid!2sid"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",-
PUSKESMAS NAMROLE,"-3,845393","126,710528","5P36+V43, Elfule, Kec. Namrole, Kabupaten Buru Selatan, Maluku
<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3224.3246137326005!2d126.70663018233206!3d-3.84602208817671!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2d72dc1362c90a5d%3A0x3f2efc6f57bd74b4!2sPUSKESMAS%20NAMROLE!5e1!3m2!1sid!2sid!4v1782064438951!5m2!1sid!2sid"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",-
Polsek Namrole,"-3,847549","126,736144","5P2P+WCX, Labuang, Kec. Namrole, Kabupaten Buru Selatan, Maluku
<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1111.2323184290055!2d126.73541380105848!3d-3.847927952436954!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2d72dc5d39709d3f%3A0xaee9a015a025cb2a!2sPolsek%20Namrole!5e1!3m2!1sid!2sid!4v1782064545161!5m2!1sid!2sid"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",-
Kantor Syahbandar Namrole,"-3,849321","126,734368","5P2M+7V8, Jl. Kabupaten, Labuang, Kec. Namrole, Kabupaten Buru Selatan, Maluku
<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1123.4437659914993!2d126.734721297812!3d-3.849707777120424!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2d72dc6341a9c24f%3A0x70f0af35b7c00038!2sKantor%20Syahbandar%20Namrole!5e1!3m2!1sid!2sid!4v1782064677464!5m2!1sid!2sid"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",091322170
Pos Damkar Namlea,"-3,269365","127,097764","P3JX+644, A Jl. Jenderal Ahmad Yani, Namlea, Kec. Namlea, Kabupaten Buru, Maluku
<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d1577.509328062572!2d127.0956402431653!3d-3.26948587077553!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2d726d116b1a12af%3A0xfb521fbdd27a5b19!2sPos%20Pemadam%20Kebakaran!5e1!3m2!1sid!2sid!4v1782091666202!5m2!1sid!2sid"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",081321825
Bidang Damkar Dinas Perumahan & Kawasan Permukiman,"-3,265231","127,097582","P3MX+V2X, Namlea, Kec. Namlea, Kabupaten Buru, Maluku
<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d451.08423335630613!2d127.09723802955693!3d-3.265292781936909!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2d726d164074cdfd%3A0x2a69d28977694137!2sBidang%20Damkar%20Dinas%20Perumahan%20%26%20Kawasan%20Permukiman!5e1!3m2!1sid!2sid!4v1782091799555!5m2!1sid!2sid"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",091321852
POLSEK NAMLEA,"-3,277843","127,098574","P3CX+V9Q, Jl. Kenanga, Namlea, Kec. Namlea, Kabupaten Buru, Maluku
<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d725.0254024621473!2d127.0979873745669!3d-3.2778310675292848!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x2d726dbb7c477f57%3A0x5c2f8fbc9ab1846d!2sPOLSEK%20NAMLEA!5e1!3m2!1sid!2sid!4v1782091971939!5m2!1sid!2sid"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",081343372423
